Aff,Neg,Judges,Votes,Win
Emory GR,Georgetown GT,"Hunter McCullough																																						Sophia Dal Pra																																						Maeve Ella","Aff																															Aff																															Aff","3-0																															AFF"
Michigan SS,MoState NS,"Ralph Anderson																																						Gabriel Morbeck																																						Bryce Rao","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern LR,Kentucky SR,"Kevin Hirn																																						Kurt Fifelski																																						Geoff Lundeen","Aff																															Aff																															Aff","3-0																															AFF"
Kentucky GS,Michigan State FM,"Brett Bricker																																						Deven Cooper																																						Josiah Ferguson","Aff																															Aff																															Aff","3-0																															AFF"
Michigan State GS,Kansas UA,"Dennis Savill																																						Dawn Pierce																																						Brian DeLong","Neg																															Aff																															Aff","2-1																															AFF"
Emory LY,Kansas LS,"Jordan Di																																						Solomon Watson																																						Ari Davidson","Neg																															Neg																															Aff","2-1																															NEG"
UC Berkeley RM,Kansas WO,"Addison Wagner																																						Heather Hall																																						William Repko","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern AT,Southern California BR,"Joey Tarnowski																																						Dustyn Beutelspacher																																						Sam Price","Aff																															Aff																															Aff","3-0																															AFF"
UTD PR,Macalester KH,"Dallas Perkins																																						Azja Butler																																						Viveth Karthikeyan","Neg																															Neg																															Neg","3-0																															NEG"
Michigan BE,Northwestern LW,"Cade Blenden																																						Carly Wunderlich																																						Kevin McCaffrey","Aff																															Aff																															Aff","3-0																															AFF"
Emory AS,CSU Long Beach OM,"Allegro Wang																																						Valerie McIntosh																																						Chad Meadows","Neg																															Neg																															Neg","3-0																															NEG"
Georgetown CA,Michigan AO,"Maverick Edwards																																						Eric Morris																																						John Katsulas","Aff																															Aff																															Aff","3-0																															AFF"
Liberty CL,Western Kentucky FN,"Johnnie Stupek																																						Matt Conway																																						Peyton Reeves","Aff																															Aff																															Aff","3-0																															AFF"
UTD KH,Western Kentucky KC,"Noah Reed																																						Alex Barreto																																						John Turner","Aff																															Aff																															Neg","2-1																															AFF"
Kansas BW,Michigan State GL,"Aaron Kall																																						Ethan Greer																																						Lauren McBlain","Neg																															Neg																															Neg","3-0																															NEG"
Michigan CC,Texas FL,"Jared DeMunbrun																																						Jeff Buntin																																						Tony Miklovis","Aff																															Aff																															Aff","3-0																															AFF"